kepoi_name,period_days,orbital_dist_AU,planet_radius_earth,planet_type,stellar_mass_solar,stellar_temp_K,luminosity_solar,hz_inner_AU,hz_outer_AU,in_habitable_zone,koi_kepmag
K00115.03,3.4359,0.0437,0.55,Rocky (Earth-like),0.941,5779.0,1.1824,1.033,1.4897,False,12.791
K01168.01,856.6721,1.8017,3.87,Mini-Neptune,1.063,6449.0,2.6591,1.5491,2.234,True,13.997
K01169.01,0.6892,0.0156,1.32,Super-Earth,1.064,5630.0,0.8204,0.8605,1.2409,False,13.248
K00970.01,3.9886,0.0622,34.39,Super-Jupiter,2.016,4813.0,89.7317,8.999,12.9776,False,6.974
K00971.01,0.5331,0.0166,133.56,Super-Jupiter,2.166,8523.0,77.6934,8.3737,12.0757,False,7.748
K01174.01,129995.7784,44.9528,2.99,Mini-Neptune,0.717,4500.0,0.1939,0.4183,0.6033,False,13.447
K00972.02,7.8219,0.0975,2.78,Mini-Neptune,2.018,7221.0,43.8542,6.2911,9.0725,False,9.275
K00974.01,53.5058,0.2932,2.52,Mini-Neptune,1.174,6247.0,4.2422,1.9567,2.8217,False,9.582
K01118.01,7.3729,0.0737,2.67,Mini-Neptune,0.982,5973.0,1.3075,1.0863,1.5665,False,13.835
K00141.01,2.6242,0.0368,5.11,Gas Giant,0.963,5340.0,0.5896,0.7295,1.052,False,13.687
K01206.01,422.9177,1.1042,5.89,Gas Giant,1.004,5796.0,2.1112,1.3803,1.9906,False,13.642
K01154.01,6.8108,0.0798,26.06,Super-Jupiter,1.461,7226.0,10.5728,3.089,4.4547,False,12.628
K01032.01,1500.1407,2.6339,18.35,Super-Jupiter,1.083,5009.0,2.9438,1.63,2.3506,False,13.862
K01431.01,345.1589,0.9732,7.79,Gas Giant,1.032,5597.0,0.7632,0.8299,1.1969,True,13.46
K01242.01,99.6443,0.4274,8.48,Gas Giant,1.049,6102.0,1.284,1.0765,1.5524,False,13.75
K01315.01,6.8464,0.0732,1.9,Super-Earth,1.115,6065.0,2.0833,1.3712,1.9774,False,13.137
K01445.02,54.3256,0.2994,0.76,Rocky (Earth-like),1.213,6343.0,1.8775,1.3017,1.8772,False,12.32
K01271.01,162.048,0.6339,11.52,Super-Jupiter,1.294,6309.0,3.4904,1.7748,2.5595,False,13.632
K01208.01,700.003,1.61,6.43,Gas Giant,1.136,6487.0,1.9859,1.3388,1.9306,True,13.594
K01619.01,20.6654,0.129,0.66,Rocky (Earth-like),0.671,4830.0,0.2231,0.4487,0.6471,False,11.759
K01622.01,69.8348,0.4018,3.51,Mini-Neptune,1.774,7732.0,13.1105,3.4398,4.9606,False,12.02
K01639.02,9.9824,0.0934,1.17,Rocky (Earth-like),1.092,6273.0,1.8023,1.2754,1.8392,False,13.538
K01537.01,10.1915,0.0966,1.39,Super-Earth,1.156,6212.0,3.7888,1.8492,2.6667,False,11.74
K01597.01,7.7967,0.0847,2.44,Mini-Neptune,1.334,6521.0,2.6415,1.544,2.2266,False,12.681
K01962.01,32.8586,0.2004,2.31,Mini-Neptune,0.995,5899.0,2.1722,1.4001,2.0192,False,10.77
K01964.01,2.2293,0.0324,0.6,Rocky (Earth-like),0.914,5587.0,0.6541,0.7683,1.108,False,10.687
K01972.01,17.7911,0.1297,2.88,Mini-Neptune,0.92,5855.0,1.8932,1.3071,1.885,False,13.8
K02042.01,63.0732,0.4142,17.8,Super-Jupiter,2.382,6234.0,54.7081,7.0267,10.1332,False,13.089
K01784.01,5.0074,0.0579,8.8,Gas Giant,1.034,5957.0,1.2267,1.0522,1.5174,False,13.592
K01861.01,17.5044,0.1289,3.56,Mini-Neptune,0.933,5815.0,1.8119,1.2788,1.8441,False,13.926
K02009.01,86.7491,0.3704,2.23,Mini-Neptune,0.901,5579.0,0.8178,0.8591,1.2389,False,13.82
K01803.01,4.5393,0.0495,2.34,Mini-Neptune,0.783,4914.0,0.2742,0.4975,0.7174,False,13.26
K02272.01,1.3415,0.0287,1.31,Super-Earth,1.754,7495.0,16.1588,3.8188,5.5071,False,12.783
K02370.01,78.7327,0.4188,7.76,Gas Giant,1.581,6715.0,13.9263,3.5452,5.1126,False,13.003
K02295.01,16.2909,0.1178,0.52,Rocky (Earth-like),0.822,5425.0,0.4936,0.6674,0.9625,False,11.671
K02298.01,16.6671,0.1036,0.7,Rocky (Earth-like),0.534,4729.0,0.1237,0.3341,0.4818,False,13.831
K02222.01,34.1357,0.2835,13.98,Super-Jupiter,2.607,7818.0,103.4286,9.6615,13.9329,False,12.963
K02312.01,176.3313,0.6478,2.38,Mini-Neptune,1.166,6146.0,6.4865,2.4195,3.4892,False,12.982
K02081.01,6.2141,0.0757,4.27,Gas Giant,1.501,5295.0,7.0069,2.5147,3.6265,False,13.439
K02159.01,7.5967,0.0745,1.32,Super-Earth,0.955,5716.0,1.14,1.0143,1.4628,False,13.482
K02324.01,1.2047,0.0222,1.55,Super-Earth,1.0,5780.0,1.0014,0.9507,1.371,False,11.671
K02169.04,2.1925,0.0324,0.37,Rocky (Earth-like),0.944,5450.0,0.5612,0.7117,1.0263,False,12.404
K02486.01,4.268,0.0523,1.42,Super-Earth,1.048,6395.0,2.2961,1.4395,2.0759,False,13.047
K02641.01,3.5556,0.0444,0.84,Rocky (Earth-like),0.926,5839.0,1.221,1.0497,1.5138,False,13.845
K02577.01,18.5558,0.1918,20.83,Super-Jupiter,2.734,5988.0,90.1612,9.0206,13.0086,False,13.506
K02657.01,5.224,0.0555,0.58,Rocky (Earth-like),0.837,5487.0,0.5738,0.7196,1.0378,False,12.869
K02516.01,2.8104,0.041,1.43,Super-Earth,1.164,5415.0,3.3342,1.7347,2.5016,False,13.388
K02603.01,73.711,0.374,1.77,Super-Earth,1.284,6374.0,3.341,1.7364,2.5041,False,12.643
K02384.01,62.6826,0.3583,39.8,Super-Jupiter,1.562,7058.0,21.4102,4.3958,6.3391,False,13.072
K02534.02,5.422,0.0617,1.39,Super-Earth,1.066,6123.0,2.0117,1.3474,1.9431,False,13.925
K02610.01,24.1073,0.187,2.74,Mini-Neptune,1.502,6585.0,10.6876,3.1057,4.4788,False,12.605
K02840.01,3.6794,0.043,0.92,Rocky (Earth-like),0.781,5676.0,0.6697,0.7774,1.1211,False,13.884
K02840.02,7.4465,0.0687,0.77,Rocky (Earth-like),0.781,5676.0,0.6697,0.7774,1.1211,False,13.884
K02706.01,3.0976,0.0462,1.75,Super-Earth,1.374,6329.0,5.1151,2.1486,3.0985,False,10.268
K00272.01,1.2813,0.0221,4.52,Gas Giant,0.881,5918.0,2.8032,1.5906,2.2938,False,12.107
K02935.01,27.8813,0.1828,1.54,Super-Earth,1.048,6434.0,1.7113,1.2428,1.7922,False,13.603
K02712.01,7.5079,0.0825,1.77,Super-Earth,1.329,6408.0,2.7042,1.5622,2.2529,False,11.125
K00268.01,110.3784,0.4752,3.02,Mini-Neptune,1.175,6342.0,2.6806,1.5554,2.243,False,10.56
K02859.03,4.2889,0.0454,0.57,Rocky (Earth-like),0.68,5374.0,0.389,0.5925,0.8545,False,13.851
K02949.01,10.1747,0.0924,1.04,Rocky (Earth-like),1.016,5866.0,1.9047,1.3111,1.8907,False,13.313
K02720.01,6.5716,0.0693,1.26,Super-Earth,1.029,6042.0,2.4519,1.4876,2.1452,False,10.338
K02807.01,3.3757,0.0458,2.34,Mini-Neptune,1.122,6310.0,2.3377,1.4525,2.0947,False,13.91
K02968.01,10.1644,0.1028,1.99,Super-Earth,1.401,6133.0,9.3222,2.9006,4.1829,False,11.912
K02677.01,237.7872,0.7707,9.91,Gas Giant,1.08,5185.0,2.2266,1.4176,2.0443,False,13.46
K02813.01,0.6985,0.0199,14.81,Super-Jupiter,2.17,4676.0,67.6439,7.8134,11.2677,False,13.586
K02679.01,110.7556,0.5208,29.64,Super-Jupiter,1.536,6525.0,11.5767,3.2323,4.6614,False,13.455
K02833.01,1.7919,0.0303,1.48,Super-Earth,1.156,6002.0,5.3272,2.1927,3.1621,False,12.599
K02906.02,145.8819,0.5646,1.8,Super-Earth,1.128,6052.0,2.4407,1.4842,2.1403,False,13.716
K02696.01,96.4562,0.4917,9.1,Gas Giant,1.704,7029.0,16.0132,3.8016,5.4823,False,12.998
K02696.02,44.5644,0.2938,5.8,Gas Giant,1.704,7029.0,16.0132,3.8016,5.4823,False,12.998
K02758.01,253.3746,1.0071,19.25,Super-Jupiter,2.122,5177.0,22.8082,4.537,6.5428,False,11.893
K02914.01,21.1182,0.169,2.89,Mini-Neptune,1.443,6461.0,10.2944,3.0481,4.3956,False,12.199
K02915.01,5.0609,0.0565,0.98,Rocky (Earth-like),0.939,5637.0,0.7518,0.8237,1.1879,False,13.346
K00304.02,5.5182,0.0607,0.46,Rocky (Earth-like),0.979,5767.0,0.7703,0.8338,1.2024,False,12.549
K00366.01,75.1122,0.4153,23.23,Super-Jupiter,1.694,6201.0,14.9232,3.6699,5.2924,False,11.714
K03017.01,2.4629,0.0338,0.67,Rocky (Earth-like),0.848,5893.0,1.0118,0.9556,1.3781,False,13.308
K03020.01,10.9193,0.1033,1.9,Super-Earth,1.234,5745.0,3.8007,1.8521,2.6709,False,13.534
K00064.01,1.9511,0.033,10.35,Gas Giant,1.258,5302.0,4.1728,1.9406,2.7986,False,13.143
K00379.02,23.1376,0.1728,1.83,Super-Earth,1.285,6078.0,3.4682,1.7692,2.5514,False,13.319
K03111.01,10.768,0.094,0.92,Rocky (Earth-like),0.954,5874.0,1.2831,1.0761,1.5519,False,12.863
K03111.02,4.3285,0.0512,0.66,Rocky (Earth-like),0.954,5874.0,1.2831,1.0761,1.5519,False,12.863
K00319.01,46.1512,0.2666,10.02,Gas Giant,1.187,5877.0,4.1243,1.9293,2.7822,False,12.711
K00005.01,4.7803,0.059,7.14,Gas Giant,1.197,5937.0,3.5596,1.7924,2.5848,False,11.665
K03114.01,7.4913,0.0762,1.01,Rocky (Earth-like),1.051,6177.0,3.8194,1.8566,2.6774,False,12.277
K03117.01,6.0666,0.0643,0.87,Rocky (Earth-like),0.963,5569.0,0.6866,0.7872,1.1352,False,13.163
K03128.01,21.236,0.165,2.62,Mini-Neptune,1.328,6035.0,7.7936,2.6521,3.8246,False,13.371
K00396.01,14.5915,0.1166,36.85,Super-Jupiter,0.993,5940.0,1.9227,1.3173,1.8997,False,13.311
K03132.01,0.5367,0.0138,1.35,Super-Earth,1.22,6020.0,4.7134,2.0625,2.9743,False,12.649
K02971.01,6.096,0.0717,1.26,Super-Earth,1.325,6313.0,3.0669,1.6637,2.3992,False,12.742
K03052.01,10.1296,0.0876,0.78,Rocky (Earth-like),0.874,5383.0,0.5341,0.6943,1.0012,False,13.573
K02984.01,11.4554,0.1077,1.12,Rocky (Earth-like),1.269,6231.0,2.4868,1.4981,2.1604,False,13.066
K00350.01,12.9907,0.1071,2.02,Mini-Neptune,0.971,5787.0,1.0613,0.9787,1.4114,False,13.387
K00353.01,152.106,0.5856,11.58,Super-Jupiter,1.158,6200.0,3.5657,1.7939,2.587,False,13.374
K00298.02,57.384,0.2692,1.62,Super-Earth,0.79,5250.0,0.4254,0.6196,0.8936,False,12.713
K04146.02,2.5738,0.0341,0.57,Rocky (Earth-like),0.798,5115.0,0.4479,0.6358,0.9169,False,13.632
K03083.01,10.1832,0.0958,0.79,Rocky (Earth-like),1.131,5843.0,1.2288,1.0531,1.5187,False,12.857
K03083.02,6.2321,0.0691,0.61,Rocky (Earth-like),1.131,5843.0,1.2288,1.0531,1.5187,False,12.857
K03083.03,8.2943,0.0836,0.65,Rocky (Earth-like),1.131,5843.0,1.2288,1.0531,1.5187,False,12.857
K02298.03,2.4724,0.029,0.36,Rocky (Earth-like),0.534,4729.0,0.1237,0.3341,0.4818,False,13.831
K04288.04,13.951,0.1148,0.75,Rocky (Earth-like),1.036,5888.0,1.6235,1.2105,1.7456,False,12.4
K04260.04,84.7998,0.3576,1.16,Rocky (Earth-like),0.848,5619.0,1.7681,1.2632,1.8217,False,11.443
K00317.02,11.5059,0.1095,0.99,Rocky (Earth-like),1.324,6336.0,2.8462,1.6027,2.3113,False,12.885
K01613.03,20.6055,0.1458,0.85,Rocky (Earth-like),0.974,6099.0,2.1239,1.3845,1.9966,False,11.049
K02593.02,9.5539,0.0948,0.68,Rocky (Earth-like),1.244,6175.0,2.2284,1.4181,2.0451,False,11.714
K03209.02,6.7707,0.0812,1.9,Super-Earth,1.556,6337.0,7.8886,2.6682,3.8479,False,11.915
K01815.02,1.7461,0.0281,1.24,Rocky (Earth-like),0.97,4854.0,1.5236,1.1726,1.691,False,13.884
K03226.02,6.9365,0.0785,1.51,Super-Earth,1.343,6615.0,4.2562,1.9599,2.8264,False,12.209
K02678.02,2.2166,0.0319,0.48,Rocky (Earth-like),0.878,5397.0,0.5257,0.6888,0.9933,False,11.799
K00331.02,10.5229,0.0952,23.26,Super-Jupiter,1.038,5548.0,2.2143,1.4136,2.0386,False,13.497
K00075.01,105.8818,0.4782,10.16,Gas Giant,1.301,5903.0,6.8032,2.4779,3.5734,False,10.775
K02906.03,21.9424,0.1597,1.23,Rocky (Earth-like),1.128,6052.0,2.4407,1.4842,2.1403,False,13.716
K07624.01,330.025,1.1063,5.92,Gas Giant,1.658,6126.0,15.1794,3.7013,5.3376,False,12.668
K00076.01,77.4795,0.4209,10.33,Gas Giant,1.657,6711.0,15.4002,3.7281,5.3763,False,10.143
K04773.02,11.1438,0.0978,0.75,Rocky (Earth-like),1.004,6095.0,1.5256,1.1734,1.6922,False,13.556
K05007.02,80.8818,0.3825,2.27,Mini-Neptune,1.141,5934.0,3.9528,1.8888,2.7238,False,13.698
K00080.01,9.2506,0.1096,96.08,Super-Jupiter,2.053,8133.0,42.5932,6.2,8.9411,False,11.31
K07628.01,1.8134,0.0264,0.69,Rocky (Earth-like),0.743,5094.0,0.296,0.5169,0.7454,False,13.961
K00682.01,562.1726,1.3446,10.9,Gas Giant,1.026,5589.0,1.4546,1.1458,1.6523,True,13.916
K00683.01,278.1244,0.8416,5.86,Gas Giant,1.028,5799.0,1.1186,1.0048,1.449,False,13.714
K00684.01,4.0349,0.0509,6.95,Gas Giant,1.079,5548.0,2.7327,1.5704,2.2647,False,13.831
K00686.01,52.5135,0.2674,12.43,Super-Jupiter,0.925,5589.0,0.8408,0.8711,1.2562,False,13.579
K00687.01,4.1784,0.053,3.13,Mini-Neptune,1.136,5746.0,2.7834,1.5849,2.2856,False,13.813
K00099.01,2190.701,2.9438,3.12,Mini-Neptune,0.709,4965.0,0.2953,0.5162,0.7445,False,12.96
K00100.01,9.9664,0.1059,16.89,Super-Jupiter,1.595,6638.0,16.5142,3.8606,5.5674,False,12.598
K00641.01,14.8519,0.1035,2.73,Mini-Neptune,0.671,4129.0,0.1109,0.3164,0.4562,False,13.583
K00648.01,10.4749,0.109,15.45,Super-Jupiter,1.573,6526.0,16.9989,3.9168,5.6485,False,13.22
K04388.02,61.8589,0.3426,2.47,Mini-Neptune,1.402,5529.0,6.6535,2.4505,3.5338,False,12.045
K07621.01,275.0736,0.7884,1.86,Super-Earth,0.864,5604.0,1.2468,1.0608,1.5297,False,10.15
K00716.01,26.8932,0.1742,6.78,Gas Giant,0.975,6096.0,1.0215,0.9602,1.3846,False,13.754
K07638.01,25.0032,0.1766,1.47,Super-Earth,1.176,6148.0,3.6394,1.8123,2.6136,False,12.55
K00626.02,8.0292,0.0787,0.99,Rocky (Earth-like),1.009,6063.0,1.7197,1.2458,1.7966,False,13.49
K04136.01,2.4175,0.0348,1.19,Rocky (Earth-like),0.965,5575.0,1.4828,1.1568,1.6683,False,13.955
K04136.02,4.0336,0.049,1.23,Rocky (Earth-like),0.965,5575.0,1.4828,1.1568,1.6683,False,13.955
K04021.01,7.2353,0.0782,1.53,Super-Earth,1.22,6422.0,3.0815,1.6676,2.4049,False,13.166
K04152.01,64.1862,0.3683,8.0,Gas Giant,1.618,6951.0,15.9319,3.7919,5.4683,False,12.972
K04021.02,4.9321,0.0606,1.02,Rocky (Earth-like),1.22,6422.0,3.0815,1.6676,2.4049,False,13.166
K04022.01,4.8582,0.0595,2.04,Mini-Neptune,1.188,6109.0,6.7607,2.4701,3.5622,False,13.269
K04097.02,4.449,0.0458,0.55,Rocky (Earth-like),0.648,4353.0,0.1171,0.3251,0.4688,False,13.435
K04098.01,1.1217,0.0222,2.39,Mini-Neptune,1.157,5023.0,3.7753,1.8459,2.6619,False,13.875
K04037.01,215.956,0.7432,3.36,Mini-Neptune,1.174,6163.0,2.2315,1.4191,2.0465,False,12.853
K07645.01,2.0087,0.0277,0.55,Rocky (Earth-like),0.705,5341.0,0.4206,0.6161,0.8885,False,12.334
K04123.01,44.6227,0.2461,1.73,Super-Earth,0.998,6198.0,2.0325,1.3544,1.9532,False,13.519
K07673.01,80.7699,0.3624,1.87,Super-Earth,0.973,4965.0,1.5905,1.1981,1.7278,False,13.026
K04060.01,225.2621,0.719,2.36,Mini-Neptune,0.977,5799.0,1.4392,1.1397,1.6435,False,13.841
K04129.01,2.3148,0.0322,0.69,Rocky (Earth-like),0.833,5240.0,0.5763,0.7212,1.04,False,13.506
K04341.01,10.7783,0.0972,1.25,Super-Earth,1.054,6726.0,2.9059,1.6194,2.3354,False,13.264
K04345.01,4.3271,0.0483,26.6,Super-Jupiter,0.804,5776.0,2.1141,1.3813,1.992,False,13.404
K02859.04,2.9051,0.035,0.57,Rocky (Earth-like),0.68,5374.0,0.389,0.5925,0.8545,False,13.851
K02585.03,7.8785,0.0751,0.78,Rocky (Earth-like),0.91,5767.0,1.2784,1.0741,1.549,False,13.455
K02949.02,3.7503,0.0475,0.87,Rocky (Earth-like),1.016,5866.0,1.9047,1.3111,1.8907,False,13.313
K04421.01,4.7269,0.0569,0.61,Rocky (Earth-like),1.1,5950.0,1.6085,1.2049,1.7375,False,12.788
K04212.02,10.099,0.0947,1.03,Rocky (Earth-like),1.109,6174.0,2.2646,1.4296,2.0617,False,13.96
K04287.01,13.123,0.1148,1.29,Super-Earth,1.173,6134.0,3.5212,1.7827,2.5708,False,11.265
K02590.02,22.7909,0.1711,1.38,Super-Earth,1.286,6311.0,3.8373,1.861,2.6837,False,11.638
K04426.01,369.1324,1.0346,2.14,Mini-Neptune,1.084,6282.0,2.9337,1.6272,2.3465,False,13.665
K04288.02,9.0875,0.0862,0.73,Rocky (Earth-like),1.036,5888.0,1.6235,1.2105,1.7456,False,12.4
K04296.01,2.4939,0.0333,0.59,Rocky (Earth-like),0.79,5615.0,0.6444,0.7626,1.0998,False,13.03
K02722.05,16.534,0.1277,1.17,Rocky (Earth-like),1.015,6052.0,1.739,1.2528,1.8066,False,13.268
K04443.01,5.6758,0.0679,1.22,Rocky (Earth-like),1.294,6681.0,3.6964,1.8265,2.634,False,13.802
K04226.01,49.5647,0.2833,1.63,Super-Earth,1.234,5907.0,2.2714,1.4318,2.0647,False,12.83
K04298.01,2.8949,0.0447,1.16,Rocky (Earth-like),1.418,7087.0,6.4184,2.4068,3.4708,False,13.458
K04367.01,170.9957,0.6753,4.9,Gas Giant,1.405,6127.0,4.972,2.1183,3.0548,False,13.985
K04431.01,19.5651,0.1462,0.97,Rocky (Earth-like),1.09,6180.0,1.9961,1.3422,1.9356,False,12.674
K04302.01,5.5331,0.0622,1.05,Rocky (Earth-like),1.047,6170.0,2.6403,1.5437,2.2261,False,13.591
K04435.01,10.8614,0.0981,1.01,Rocky (Earth-like),1.069,6339.0,1.4984,1.1629,1.677,False,13.517
K07662.01,4.7252,0.0652,3.98,Mini-Neptune,1.653,6655.0,25.8289,4.8281,6.9626,False,12.358
K04235.01,66.6435,0.33,2.99,Mini-Neptune,1.079,5751.0,1.3297,1.0955,1.5798,False,13.224
K02563.02,6.2614,0.0675,0.81,Rocky (Earth-like),1.046,6384.0,1.8727,1.3,1.8748,False,13.973
K04377.01,19.8751,0.1657,2.49,Mini-Neptune,1.536,6918.0,8.2529,2.7291,3.9357,False,13.543
K02732.04,24.5607,0.1796,1.13,Rocky (Earth-like),1.282,6170.0,2.9217,1.6238,2.3417,False,12.805
K04245.01,24.6684,0.1786,1.76,Super-Earth,1.249,6059.0,2.9201,1.6234,2.3411,False,13.572
K04318.01,14.8163,0.1251,1.57,Super-Earth,1.191,6356.0,2.5707,1.5232,2.1966,False,12.583
K04251.01,6.2397,0.0653,1.55,Super-Earth,0.956,5751.0,1.2822,1.0757,1.5513,False,13.795
K04257.01,41.6758,0.2374,2.1,Mini-Neptune,1.027,5745.0,3.0378,1.6558,2.3878,False,13.34
K04323.01,11.4959,0.1036,1.59,Super-Earth,1.123,6290.0,3.1852,1.6955,2.4451,False,13.582
K04329.01,17.8008,0.1423,1.02,Rocky (Earth-like),1.214,6240.0,2.1322,1.3872,2.0005,False,12.018
K04331.01,1.7179,0.0309,1.45,Super-Earth,1.333,6694.0,5.4042,2.2085,3.1848,False,13.228
K00647.02,8.1135,0.078,0.92,Rocky (Earth-like),0.963,6011.0,2.3254,1.4487,2.0891,False,13.55
K04399.01,42.1003,0.2301,1.42,Super-Earth,0.917,5595.0,0.5912,0.7305,1.0534,False,11.965
K04198.01,1.1829,0.0237,1.26,Super-Earth,1.269,6017.0,8.1901,2.7187,3.9207,False,12.638
K04269.02,4.4409,0.0588,1.74,Super-Earth,1.373,5159.0,5.9588,2.319,3.3443,False,13.263
K04407.01,1.3381,0.0257,0.6,Rocky (Earth-like),1.269,6355.0,2.5459,1.5158,2.186,False,11.179
K04273.01,17.3732,0.1409,1.31,Super-Earth,1.237,6180.0,3.1037,1.6736,2.4136,False,12.677
K07685.01,64.7403,0.3076,1.35,Super-Earth,0.926,5999.0,1.6097,1.2053,1.7382,False,13.219
K04482.01,5.383,0.0627,0.78,Rocky (Earth-like),1.135,6256.0,2.2976,1.44,2.0766,False,12.642
K07680.01,219.2058,0.8172,2.66,Mini-Neptune,1.515,6990.0,6.8246,2.4818,3.579,False,12.449
K04557.01,5.7565,0.0646,0.83,Rocky (Earth-like),1.086,6208.0,1.3973,1.123,1.6194,False,13.666
K04699.01,3.0771,0.0435,1.08,Rocky (Earth-like),1.162,6108.0,2.2289,1.4183,2.0453,False,12.889
K04633.01,11.6933,0.1068,1.12,Rocky (Earth-like),1.189,6049.0,2.2022,1.4098,2.0331,False,13.848
K04634.01,4.0275,0.0493,0.98,Rocky (Earth-like),0.987,6174.0,1.4127,1.1291,1.6283,False,13.685
K03196.01,4.9606,0.0584,0.59,Rocky (Earth-like),1.079,6117.0,2.1164,1.382,1.9931,False,11.525
K03165.01,4.1175,0.0526,1.02,Rocky (Earth-like),1.147,6263.0,4.1125,1.9265,2.7783,False,10.335
K04637.01,4.3799,0.0575,0.81,Rocky (Earth-like),1.324,6311.0,5.2358,2.1738,3.1348,False,10.438
K04567.01,14.7443,0.1179,8.1,Gas Giant,1.006,6146.0,1.2471,1.0609,1.5299,False,13.775
K03197.01,22.5995,0.1573,0.96,Rocky (Earth-like),1.017,6335.0,1.7074,1.2413,1.7901,False,11.531
K04575.01,201.325,0.7349,1.98,Super-Earth,1.306,6120.0,3.6331,1.8108,2.6113,False,13.174
K04647.01,37.9044,0.2239,1.97,Super-Earth,1.042,5303.0,2.7369,1.5716,2.2665,False,13.726
K03196.02,6.883,0.0726,0.77,Rocky (Earth-like),1.079,6117.0,2.1164,1.382,1.9931,False,11.525
K04713.01,8.7963,0.0834,1.36,Super-Earth,1.0,5780.0,1.0014,0.9507,1.371,False,13.641
K04715.01,53.2856,0.2579,1.44,Super-Earth,0.806,6015.0,1.3121,1.0882,1.5693,False,13.98
K04716.01,5.8943,0.0657,0.61,Rocky (Earth-like),1.087,5929.0,1.4535,1.1453,1.6517,False,12.322
K04505.01,18.0071,0.1355,1.05,Rocky (Earth-like),1.023,6173.0,1.7743,1.2654,1.8249,False,13.615
K04580.01,6.3043,0.0708,1.23,Rocky (Earth-like),1.192,6728.0,6.197,2.3649,3.4104,False,13.01
K04651.01,1.1926,0.0207,0.77,Rocky (Earth-like),0.837,5600.0,0.9054,0.9039,1.3036,False,13.818
K04581.01,6.006,0.0657,0.73,Rocky (Earth-like),1.05,6103.0,1.6749,1.2295,1.773,False,13.549
K04582.01,4.2243,0.0494,0.35,Rocky (Earth-like),0.903,5735.0,0.7567,0.8264,1.1917,False,11.756
K03168.01,56.348,0.2841,1.06,Rocky (Earth-like),0.963,5843.0,2.2629,1.4291,2.0609,False,10.455
K04653.01,19.9779,0.1545,1.07,Rocky (Earth-like),1.232,6392.0,2.0223,1.351,1.9482,False,13.52
K04656.01,3.8184,0.0529,1.39,Super-Earth,1.351,6738.0,5.2944,2.1859,3.1523,False,13.821
K04588.01,7.5374,0.0802,0.93,Rocky (Earth-like),1.212,6483.0,3.2682,1.7174,2.4767,False,12.912
K04657.01,7.576,0.0715,0.54,Rocky (Earth-like),0.848,5361.0,0.444,0.633,0.9129,False,13.241
K04452.01,12.8576,0.1045,1.23,Rocky (Earth-like),0.922,5860.0,1.4138,1.1296,1.629,False,13.821
K07685.02,33.5029,0.1983,1.08,Rocky (Earth-like),0.926,5999.0,1.6097,1.2053,1.7382,False,13.219
K07676.01,5.3694,0.059,0.62,Rocky (Earth-like),0.951,5753.0,0.7422,0.8184,1.1803,False,13.786
K04663.01,5.6569,0.0618,0.74,Rocky (Earth-like),0.986,5687.0,1.6352,1.2148,1.7519,False,12.715
K04457.01,79.3343,0.3646,1.56,Super-Earth,1.027,6384.0,1.9709,1.3337,1.9233,False,13.815
K04528.01,8.3122,0.0726,10.63,Gas Giant,0.739,5421.0,0.5159,0.6823,0.984,False,13.019
K07687.01,23.2666,0.1821,2.66,Mini-Neptune,1.487,5758.0,14.0543,3.5615,5.136,False,13.047
K04601.01,7.94,0.0812,0.98,Rocky (Earth-like),1.132,6278.0,1.6286,1.2124,1.7483,False,13.757
K03190.01,8.9529,0.0838,0.86,Rocky (Earth-like),0.98,6047.0,1.7477,1.2559,1.8111,False,11.458
K04674.01,4.8435,0.0542,0.9,Rocky (Earth-like),0.906,5762.0,1.1028,0.9976,1.4387,False,13.59
K04462.01,45.163,0.2942,2.35,Mini-Neptune,1.665,7675.0,12.6402,3.3775,4.8708,False,11.069
K04603.01,15.9514,0.1311,1.17,Rocky (Earth-like),1.181,6451.0,2.1197,1.3831,1.9946,False,13.629
K04605.01,7.7859,0.0767,0.68,Rocky (Earth-like),0.994,6045.0,1.0904,0.992,1.4306,False,13.515
K04676.01,31.1837,0.2158,3.21,Mini-Neptune,1.378,5947.0,6.5018,2.4224,3.4933,False,13.931
K07678.01,13.0915,0.1104,0.79,Rocky (Earth-like),1.048,5919.0,1.8269,1.284,1.8517,False,11.993
K04614.01,6.4547,0.0718,1.38,Super-Earth,1.185,6474.0,2.9237,1.6244,2.3425,False,13.784
K04686.01,11.8299,0.1127,1.6,Super-Earth,1.365,5747.0,5.784,2.2847,3.2948,False,12.327
K04546.01,0.7418,0.0186,72.36,Super-Jupiter,1.566,5897.0,10.745,3.1141,4.4908,False,13.469
K04907.01,4.0448,0.051,0.67,Rocky (Earth-like),1.082,6358.0,1.9087,1.3125,1.8927,False,13.778
K07712.01,4.8302,0.0535,1.06,Rocky (Earth-like),0.877,5086.0,3.0311,1.654,2.3852,False,11.994
K04839.01,21.842,0.162,2.01,Mini-Neptune,1.189,6194.0,6.6322,2.4465,3.5282,False,13.547
K04771.01,142.7039,0.5821,1.95,Super-Earth,1.292,6701.0,3.0058,1.647,2.3752,False,13.964
K04913.01,6.7879,0.0834,2.44,Mini-Neptune,1.677,6537.0,13.112,3.44,4.9608,False,13.36
K03224.01,3.4386,0.0435,1.01,Rocky (Earth-like),0.926,5383.0,1.4786,1.1552,1.6659,False,12.192
K03225.01,4.8755,0.0546,0.8,Rocky (Earth-like),0.911,5513.0,1.3706,1.1122,1.6039,False,12.207
